run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,mean_gold_standard_alignment,min_gold_standard_alignment,max_gold_standard_alignment,context_alignment,memory_similarity_method,gold_standard_alignment_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,gold_alignment_agent_1,gold_alignment_agent_2,gold_alignment_agent_3,gold_check_agent_1_a_risks,gold_check_agent_1_b_risks,gold_check_agent_1_c_attention,gold_check_agent_1_c_calmness,gold_check_agent_1_c_crew_fit,gold_check_agent_1_c_reliability,gold_check_agent_1_d_risks,gold_check_agent_1_favorite_is_c,gold_check_agent_2_a_risks,gold_check_agent_2_b_risks,gold_check_agent_2_c_attention,gold_check_agent_2_c_calmness,gold_check_agent_2_c_crew_fit,gold_check_agent_2_c_reliability,gold_check_agent_2_d_risks,gold_check_agent_2_favorite_is_c,gold_check_agent_3_a_risks,gold_check_agent_3_b_risks,gold_check_agent_3_c_attention,gold_check_agent_3_c_calmness,gold_check_agent_3_c_crew_fit,gold_check_agent_3_c_reliability,gold_check_agent_3_d_risks,gold_check_agent_3_favorite_is_c,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260509_224515_001,low,baseline,False,transparency_experiment,completed,20260510_042024,2026-05-10T04:23:40+0200,5,15,0,0,0,15,25256,12138,37394,195.9008,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_001/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_002,low,baseline,False,transparency_experiment,completed,20260510_042343,2026-05-10T04:25:33+0200,5,15,0,0,0,15,25003,10829,35832,110.295,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_002/metadata.json,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_003,low,baseline,False,transparency_experiment,completed,20260510_042537,2026-05-10T04:28:08+0200,5,15,0,0,0,15,25209,12366,37575,151.5878,Candidate D,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_003/metadata.json,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_004,low,baseline,False,transparency_experiment,completed,20260510_042812,2026-05-10T04:28:55+0200,2,6,0,0,0,6,9009,4126,13135,43.8423,Candidate A,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_004/metadata.json,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_005,low,baseline,False,transparency_experiment,completed,20260510_042858,2026-05-10T04:31:00+0200,5,15,0,0,0,15,25086,11413,36499,121.7801,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_005/metadata.json,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_006,low,baseline,False,transparency_experiment,completed,20260510_043103,2026-05-10T04:33:05+0200,5,15,0,0,0,15,25215,11695,36910,122.6045,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_006/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_007,low,baseline,False,transparency_experiment,completed,20260510_043308,2026-05-10T04:35:00+0200,5,15,0,0,0,15,25142,10426,35568,111.895,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_007/metadata.json,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_008,low,baseline,False,transparency_experiment,completed,20260510_043503,2026-05-10T04:37:20+0200,5,15,0,0,0,15,25120,12000,37120,136.7166,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_008/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_009,low,baseline,False,transparency_experiment,completed,20260510_043723,2026-05-10T04:39:28+0200,5,15,0,0,0,15,25182,12224,37406,125.4846,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_009/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_010,low,baseline,False,transparency_experiment,completed,20260510_043931,2026-05-10T04:41:41+0200,3,9,1,2,0,11,17859,6684,24543,129.7604,Candidate C,consensus,Candidate C,1,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_010/metadata.json,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_011,low,baseline,False,transparency_experiment,completed,20260510_044144,2026-05-10T04:43:59+0200,5,15,0,0,0,15,25081,10252,35333,135.435,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_011/metadata.json,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_012,low,baseline,False,transparency_experiment,completed,20260510_044402,2026-05-10T04:46:05+0200,5,15,0,0,0,15,25191,10473,35664,123.0699,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_012/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_013,low,baseline,False,transparency_experiment,completed,20260510_044608,2026-05-10T04:48:14+0200,5,15,0,0,0,15,25343,10706,36049,125.5748,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_013/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_014,low,baseline,False,transparency_experiment,completed,20260510_044817,2026-05-10T04:50:21+0200,5,15,0,0,0,15,25050,10603,35653,124.1309,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_014/metadata.json,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_015,low,baseline,False,transparency_experiment,completed,20260510_045024,2026-05-10T04:52:35+0200,5,15,0,0,0,15,25161,11879,37040,131.4279,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_015/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260509_224515_016,low,baseline,False,transparency_experiment,completed,20260510_045238,2026-05-10T04:53:22+0200,2,6,0,0,0,6,9008,3983,12991,43.9772,Candidate B,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260509_224515_016/metadata.json,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
