run_id,condition,context_transparency_condition,input_history_scope,input_thought_history,smm_memory_scope,thought_history_items,smm_mode,explicit_smm_memory,run_tag,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260523_172601_001,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_001,completed,20260523_172605,2026-05-23T17:36:31+0200,2,6,4,8,18,14,119314,89166,208480,626.0693,Candidate B,consensus,Candidate C,0,0.948158,0.943532,0.952201,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_001/metadata.json,0,3,0,0,0.943532,0.948742,0.952201
low_treatment_20260523_172601_002,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_002,completed,20260523_173634,2026-05-23T17:57:08+0200,4,12,22,44,36,56,359935,177125,537060,1234.5007,Candidate C,consensus,Candidate C,1,0.936032,0.924809,0.942839,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_002/metadata.json,0,0,3,0,0.924809,0.940449,0.942839
low_treatment_20260523_172601_003,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_003,completed,20260523_181814,2026-05-23T18:29:22+0200,3,9,9,18,26,27,205995,124489,330484,667.5531,Candidate C,consensus,Candidate C,1,0.938673,0.932204,0.946522,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_003/metadata.json,0,0,3,0,0.937294,0.946522,0.932204
low_treatment_20260523_172601_004,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_004,completed,20260523_182925,2026-05-23T18:57:19+0200,5,15,15,30,44,45,333372,206875,540247,1674.3733,Candidate C,max_round_majority_vote,Candidate C,1,0.931554,0.923802,0.940694,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_004/metadata.json,0,0,2,0,0.930165,0.923802,0.940694
low_treatment_20260523_172601_005,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_005,completed,20260523_185722,2026-05-23T19:18:51+0200,5,15,16,32,41,47,363561,233194,596755,1289.0745,Candidate C,max_round_majority_vote,Candidate C,1,0.933139,0.923355,0.950376,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_005/metadata.json,0,1,2,0,0.950376,0.925687,0.923355
low_treatment_20260523_172601_006,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_006,completed,20260523_191854,2026-05-23T19:47:38+0200,5,15,15,30,44,45,354612,214647,569259,1724.0089,Candidate C,consensus,Candidate C,1,0.935499,0.928955,0.94143,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_006/metadata.json,0,0,3,0,0.94143,0.928955,0.936112
low_treatment_20260523_172601_007,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_007,completed,20260523_194741,2026-05-23T19:54:39+0200,2,6,5,10,18,16,126169,79954,206123,418.2359,Candidate C,consensus,Candidate C,1,0.948458,0.947671,0.949741,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_007/metadata.json,0,0,3,0,0.947671,0.947963,0.949741
low_treatment_20260523_172601_008,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_008,completed,20260523_195442,2026-05-23T20:10:50+0200,4,12,13,26,32,38,292127,180653,472780,967.7289,Candidate C,consensus,Candidate C,1,0.933054,0.917914,0.948703,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_008/metadata.json,0,0,3,0,0.917914,0.932545,0.948703
low_treatment_20260523_172601_009,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_009,completed,20260523_201053,2026-05-23T20:48:59+0200,5,15,19,38,43,53,376568,213724,590292,2286.0334,,max_round_no_majority,Candidate C,0,0.936384,0.928839,0.941139,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_009/metadata.json,0,0,1,0,0.928839,0.941139,0.939174
low_treatment_20260523_172601_010,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260523_172601_010,completed,20260523_204902,2026-05-23T20:56:16+0200,2,6,4,8,18,14,126175,83025,209200,434.3435,Candidate B,consensus,Candidate C,0,0.912155,0.900418,0.927679,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260523_172601_010/metadata.json,0,3,0,0,0.927679,0.908367,0.900418
