run_id,task_file,label_version,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,team_process_score,team_process_communication,team_process_cooperation,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
low_treatment_20260616_081405_001,,,low,treatment,low_treatment_001,completed,20260616_081409,2026-06-16T08:19:02+0200,2,6,5,10,18,16,92528,58814,151342,293.3409,Candidate C,consensus,Candidate C,1,0.241667,0.083333,0.4,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_001/metadata.json,0,0,3,0
low_treatment_20260616_081405_002,,,low,treatment,low_treatment_002,completed,20260616_081905,2026-06-16T08:24:56+0200,2,6,7,14,17,20,108042,65473,173515,351.104,Candidate B,consensus,Candidate C,0,0.383333,0.166667,0.6,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_002/metadata.json,0,3,0,0
low_treatment_20260616_081405_003,,,low,treatment,low_treatment_003,completed,20260616_082459,2026-06-16T08:33:27+0200,3,9,7,14,26,23,149889,93843,243732,507.4295,Candidate C,consensus,Candidate C,1,0.395833,0.291667,0.5,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_003/metadata.json,0,0,3,0
low_treatment_20260616_081405_004,,,low,treatment,low_treatment_004,completed,20260616_083330,2026-06-16T08:43:05+0200,4,12,7,14,35,26,180175,106865,287040,575.1195,Candidate C,consensus,Candidate C,1,0.488636,0.25,0.727273,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_004/metadata.json,0,0,3,0
low_treatment_20260616_081405_005,,,low,treatment,low_treatment_005,completed,20260616_084308,2026-06-16T08:50:15+0200,3,9,6,12,27,21,133026,80125,213151,426.8424,Candidate C,consensus,Candidate C,1,0.4375,0.25,0.625,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_005/metadata.json,0,0,3,0
low_treatment_20260616_081405_006,,,low,treatment,low_treatment_006,completed,20260616_085018,2026-06-16T08:55:03+0200,2,6,6,12,18,18,100076,53066,153142,285.0061,Candidate B,consensus,Candidate C,0,0.3625,0.125,0.6,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_006/metadata.json,0,3,0,0
low_treatment_20260616_081405_007,,,low,treatment,low_treatment_007,completed,20260616_085506,2026-06-16T09:07:43+0200,5,15,12,24,44,39,245892,140707,386599,756.6835,Candidate C,max_round_majority_vote,Candidate C,1,0.46131,0.208333,0.714286,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_007/metadata.json,0,1,2,0
low_treatment_20260616_081405_008,,,low,treatment,low_treatment_008,completed,20260616_090746,2026-06-16T09:13:09+0200,2,6,4,8,17,14,88581,60914,149495,323.4382,Candidate C,consensus,Candidate C,1,0.304167,0.208333,0.4,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_008/metadata.json,0,0,3,0
low_treatment_20260616_081405_009,,,low,treatment,low_treatment_009,completed,20260616_091312,2026-06-16T09:19:00+0200,2,6,5,10,17,16,97424,64263,161687,347.4863,Candidate C,consensus,Candidate C,1,0.4875,0.375,0.6,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_009/metadata.json,0,0,3,0
low_treatment_20260616_081405_010,,,low,treatment,low_treatment_010,completed,20260616_091903,2026-06-16T09:26:30+0200,3,9,9,18,26,27,154063,82572,236635,447.2953,Candidate C,consensus,Candidate C,1,0.354167,0.208333,0.5,01_data/final/final_200_gpt_oss_120b/low/low_treatment_20260616_081405_010/metadata.json,0,0,3,0
