run_id,condition,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_20260506_181837_001,low,transparency_experiment,completed,20260506_181841,2026-05-06T18:20:02+0200,2,6,0,0,18,6,42724,22204,64928,81.2169,Candidate A,consensus,Candidate C,0,0.914861,0.913884,0.915608,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_001/metadata.json,3,0,0,0,0.913884,0.915091,0.915608
low_20260506_181837_002,low,transparency_experiment,completed,20260506_182005,2026-05-06T18:23:19+0200,5,15,0,0,45,15,115788,50957,166745,194.5147,Candidate A,max_round_majority_vote,Candidate C,0,0.835712,0.786346,0.904259,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_002/metadata.json,2,1,0,0,0.816532,0.904259,0.786346
low_20260506_181837_003,low,transparency_experiment,completed,20260506_182323,2026-05-06T18:26:54+0200,5,15,0,0,45,15,118053,54180,172233,211.3455,,max_round_no_majority,Candidate C,0,0.796405,0.759426,0.834926,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_003/metadata.json,1,0,1,1,0.834926,0.759426,0.794862
low_20260506_181837_004,low,transparency_experiment,completed,20260506_182657,2026-05-06T18:29:49+0200,5,15,0,0,45,15,115345,49582,164927,171.6343,Candidate A,max_round_majority_vote,Candidate C,0,0.806702,0.728485,0.905726,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_004/metadata.json,2,1,0,0,0.905726,0.785896,0.728485
low_20260506_181837_005,low,transparency_experiment,completed,20260506_182952,2026-05-06T18:33:27+0200,5,14,0,0,45,14,110078,52137,162215,215.5032,Candidate C,consensus,Candidate C,1,0.775179,0.7039,0.909008,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_005/metadata.json,0,0,3,0,0.7039,0.909008,0.71263
low_20260506_181837_006,low,transparency_experiment,completed,20260506_183330,2026-05-06T18:36:55+0200,5,15,0,0,45,15,119391,53950,173341,204.4104,,max_round_no_majority,Candidate C,0,0.745618,0.691254,0.812802,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_006/metadata.json,1,1,1,0,0.732797,0.691254,0.812802
low_20260506_181837_007,low,transparency_experiment,completed,20260506_183657,2026-05-06T18:40:18+0200,5,15,0,0,45,15,116998,52212,169210,200.8716,,max_round_no_majority,Candidate C,0,0.796578,0.766028,0.85317,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_007/metadata.json,1,1,1,0,0.85317,0.766028,0.770536
low_20260506_181837_008,low,transparency_experiment,completed,20260506_184021,2026-05-06T18:43:18+0200,5,15,0,0,45,15,116344,50192,166536,176.3417,Candidate C,max_round_majority_vote,Candidate C,1,0.783292,0.766145,0.794607,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_008/metadata.json,0,1,2,0,0.789123,0.766145,0.794607
low_20260506_181837_009,low,transparency_experiment,completed,20260506_184321,2026-05-06T18:46:22+0200,5,15,0,0,45,15,117001,51191,168192,181.3472,Candidate A,max_round_majority_vote,Candidate C,0,0.893904,0.873149,0.922016,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_009/metadata.json,2,1,0,0,0.922016,0.886547,0.873149
low_20260506_181837_010,low,transparency_experiment,completed,20260506_184625,2026-05-06T18:49:17+0200,5,15,0,0,45,15,107455,45903,153358,172.2044,Candidate B,max_round_majority_vote,Candidate C,0,0.823657,0.76884,0.919784,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_010/metadata.json,1,2,0,0,0.76884,0.919784,0.782347
low_20260506_181837_011,low,transparency_experiment,completed,20260506_184921,2026-05-06T18:52:21+0200,5,15,0,0,45,15,113461,49623,163084,180.0199,,max_round_no_majority,Candidate C,0,0.891493,0.882517,0.898129,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_011/metadata.json,1,1,0,1,0.898129,0.882517,0.893832
low_20260506_181837_012,low,transparency_experiment,completed,20260506_185224,2026-05-06T18:55:46+0200,5,15,0,0,45,15,111817,50846,162663,202.0475,Candidate A,max_round_majority_vote,Candidate C,0,0.877799,0.856631,0.91258,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_012/metadata.json,2,1,0,0,0.856631,0.91258,0.864187
low_20260506_181837_013,low,transparency_experiment,completed,20260506_185549,2026-05-06T18:59:21+0200,5,15,0,0,45,15,119746,53583,173329,212.3048,,max_round_no_majority,Candidate C,0,0.821296,0.792992,0.875402,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_013/metadata.json,1,1,0,1,0.875402,0.792992,0.795494
low_20260506_181837_014,low,transparency_experiment,completed,20260506_185924,2026-05-06T19:02:57+0200,5,15,0,0,45,15,114230,49468,163698,213.1283,,max_round_no_majority,Candidate C,0,0.91368,0.894493,0.928182,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_014/metadata.json,1,1,1,0,0.918364,0.928182,0.894493
low_20260506_181837_015,low,transparency_experiment,completed,20260506_190300,2026-05-06T19:05:45+0200,5,15,0,0,45,15,114594,47098,161692,164.4254,Candidate B,max_round_majority_vote,Candidate C,0,0.899078,0.868295,0.925779,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_015/metadata.json,0,2,1,0,0.925779,0.868295,0.90316
low_20260506_181837_016,low,transparency_experiment,completed,20260506_190548,2026-05-06T19:07:00+0200,2,6,0,0,18,6,42172,21066,63238,72.6444,Candidate B,consensus,Candidate C,0,0.826383,0.77753,0.919069,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_016/metadata.json,0,3,0,0,0.77753,0.78255,0.919069
low_20260506_181837_017,low,transparency_experiment,completed,20260506_190704,2026-05-06T19:10:05+0200,5,15,0,0,45,15,114359,49270,163629,181.5016,,max_round_no_majority,Candidate C,0,0.804684,0.741422,0.93023,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_017/metadata.json,1,1,1,0,0.741422,0.93023,0.742401
low_20260506_181837_018,low,transparency_experiment,completed,20260506_191008,2026-05-06T19:13:06+0200,5,15,0,0,45,15,113217,48803,162020,177.1434,Candidate A,max_round_majority_vote,Candidate C,0,0.765794,0.718993,0.829712,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_018/metadata.json,2,1,0,0,0.829712,0.748677,0.718993
low_20260506_181837_019,low,transparency_experiment,completed,20260506_191309,2026-05-06T19:16:10+0200,5,15,0,0,45,15,112088,48860,160948,181.425,Candidate A,max_round_majority_vote,Candidate C,0,0.834358,0.784833,0.916851,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_019/metadata.json,2,1,0,0,0.80139,0.916851,0.784833
low_20260506_181837_020,low,transparency_experiment,completed,20260506_191613,2026-05-06T19:18:49+0200,5,15,0,0,45,15,111684,47382,159066,155.2964,Candidate A,max_round_majority_vote,Candidate C,0,0.887644,0.87979,0.896586,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_020/metadata.json,2,1,0,0,0.87979,0.886557,0.896586
low_20260506_181837_021,low,transparency_experiment,completed,20260506_191851,2026-05-06T19:21:30+0200,5,15,0,0,45,15,111561,49516,161077,158.8632,Candidate C,max_round_majority_vote,Candidate C,1,0.846762,0.83298,0.866789,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_021/metadata.json,0,1,2,0,0.83298,0.840517,0.866789
low_20260506_181837_022,low,transparency_experiment,completed,20260506_192133,2026-05-06T19:24:05+0200,4,12,0,0,36,12,87730,41902,129632,151.8623,Candidate C,consensus,Candidate C,1,0.798328,0.717785,0.920816,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_022/metadata.json,0,0,3,0,0.920816,0.756383,0.717785
low_20260506_181837_023,low,transparency_experiment,completed,20260506_192408,2026-05-06T19:27:10+0200,5,15,0,0,45,15,118519,53317,171836,181.8886,Candidate A,max_round_majority_vote,Candidate C,0,0.764917,0.698163,0.896609,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_023/metadata.json,2,1,0,0,0.699979,0.896609,0.698163
low_20260506_181837_024,low,transparency_experiment,completed,20260506_192713,2026-05-06T19:30:16+0200,5,15,0,0,45,15,114136,49337,163473,182.9022,,max_round_no_majority,Candidate C,0,0.806917,0.748887,0.908522,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_20260506_181837_024/metadata.json,1,1,1,0,0.748887,0.908522,0.763343
