run_id,task_file,label_version,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,team_process_score,team_process_communication,team_process_cooperation,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
low_treatment_20260720_122235_001,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_001,completed,20260720_122239,2026-07-20T12:28:10+0200,2,6,5,10,18,16,101112,71530,172642,330.6231,Candidate A,consensus,Candidate A,1,0.2625,0.125,0.4,01_data/raw/simulations/low/low_treatment_20260720_122235_001/metadata.json,3,0,0,0
low_treatment_20260720_122235_002,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_002,completed,20260720_122813,2026-07-20T12:40:14+0200,5,15,13,26,42,41,259679,159830,419509,721.1535,Candidate C,max_round_majority_vote,Candidate A,0,0.318452,0.208333,0.428571,01_data/raw/simulations/low/low_treatment_20260720_122235_002/metadata.json,0,1,2,0
low_treatment_20260720_122235_003,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_003,completed,20260720_124017,2026-07-20T12:44:53+0200,2,6,6,12,18,18,104198,60089,164287,276.5967,Candidate C,consensus,Candidate A,0,0.445833,0.291667,0.6,01_data/raw/simulations/low/low_treatment_20260720_122235_003/metadata.json,0,0,3,0
low_treatment_20260720_122235_004,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_004,completed,20260720_124457,2026-07-20T12:52:14+0200,3,9,10,20,26,29,162341,93844,256185,436.9386,Candidate A,consensus,Candidate A,1,0.4375,0.25,0.625,01_data/raw/simulations/low/low_treatment_20260720_122235_004/metadata.json,3,0,0,0
low_treatment_20260720_122235_005,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_005,completed,20260720_125217,2026-07-20T13:04:25+0200,5,15,14,28,44,43,271873,163120,434993,728.184,Candidate A,max_round_majority_vote,Candidate A,1,0.22619,0.166667,0.285714,01_data/raw/simulations/low/low_treatment_20260720_122235_005/metadata.json,2,1,0,0
low_treatment_20260720_122235_006,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_006,completed,20260720_130428,2026-07-20T13:15:54+0200,5,15,11,22,44,37,250564,150635,401199,686.807,Candidate A,max_round_majority_vote,Candidate A,1,0.494048,0.416667,0.571429,01_data/raw/simulations/low/low_treatment_20260720_122235_006/metadata.json,2,1,0,0
low_treatment_20260720_122235_007,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_007,completed,20260720_131557,2026-07-20T13:27:34+0200,5,15,14,28,44,43,268014,151922,419936,697.0716,Candidate B,max_round_majority_vote,Candidate A,0,0.46131,0.208333,0.714286,01_data/raw/simulations/low/low_treatment_20260720_122235_007/metadata.json,0,2,0,1
low_treatment_20260720_122235_008,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_008,completed,20260720_132737,2026-07-20T13:33:07+0200,2,6,6,12,18,18,108800,71278,180078,330.0484,Candidate B,consensus,Candidate A,0,0.3,0.0,0.6,01_data/raw/simulations/low/low_treatment_20260720_122235_008/metadata.json,0,3,0,0
low_treatment_20260720_122235_009,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_009,completed,20260720_133310,2026-07-20T13:44:21+0200,5,15,13,26,45,41,261429,147129,408558,670.7104,Candidate B,consensus,Candidate A,0,0.247024,0.208333,0.285714,01_data/raw/simulations/low/low_treatment_20260720_122235_009/metadata.json,0,3,0,0
low_treatment_20260720_122235_010,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_010,completed,20260720_134424,2026-07-20T13:48:59+0200,2,6,4,8,18,14,88825,60954,149779,274.5796,Candidate B,consensus,Candidate A,0,0.320833,0.041667,0.6,01_data/raw/simulations/low/low_treatment_20260720_122235_010/metadata.json,0,3,0,0
low_treatment_20260720_122235_011,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_011,completed,20260720_134902,2026-07-20T14:01:32+0200,5,15,14,28,45,43,263520,161969,425489,750.2135,Candidate A,consensus,Candidate A,1,0.309524,0.333333,0.285714,01_data/raw/simulations/low/low_treatment_20260720_122235_011/metadata.json,3,0,0,0
low_treatment_20260720_122235_012,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_012,completed,20260720_140135,2026-07-20T14:06:14+0200,2,6,4,8,18,14,94129,60407,154536,279.2145,Candidate A,consensus,Candidate A,1,0.425,0.25,0.6,01_data/raw/simulations/low/low_treatment_20260720_122235_012/metadata.json,3,0,0,0
low_treatment_20260720_122235_013,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_013,completed,20260720_140617,2026-07-20T14:10:28+0200,2,6,6,12,17,18,97551,54492,152043,250.1771,Candidate A,consensus,Candidate A,1,0.283333,0.166667,0.4,01_data/raw/simulations/low/low_treatment_20260720_122235_013/metadata.json,3,0,0,0
low_treatment_20260720_122235_014,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_014,completed,20260720_141031,2026-07-20T14:17:16+0200,3,9,6,12,24,21,137467,89686,227153,404.9299,Candidate A,consensus,Candidate A,1,0.583333,0.291667,0.875,01_data/raw/simulations/low/low_treatment_20260720_122235_014/metadata.json,3,0,0,0
