run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260530_091120_001,low,treatment,low_treatment_20260530_091120_001,completed,20260530_091124,2026-05-30T09:21:08+0200,5,15,11,22,45,37,182740,88816,271556,584.0201,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_001/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_002,low,treatment,low_treatment_20260530_091120_002,completed,20260530_092111,2026-05-30T09:28:59+0200,5,15,7,14,45,29,167687,88946,256633,467.7312,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_002/metadata.json,0,1,2,0,,,
low_treatment_20260530_091120_003,low,treatment,low_treatment_20260530_091120_003,completed,20260530_092902,2026-05-30T09:36:00+0200,5,15,2,4,45,19,143838,81127,224965,418.3694,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_003/metadata.json,1,1,1,0,,,
low_treatment_20260530_091120_004,low,treatment,low_treatment_20260530_091120_004,completed,20260530_093603,2026-05-30T09:45:25+0200,5,14,13,26,45,40,193260,102315,295575,561.4796,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_004/metadata.json,0,1,1,0,,,
low_treatment_20260530_091120_005,low,treatment,low_treatment_20260530_091120_005,completed,20260530_094529,2026-05-30T09:52:10+0200,4,12,11,22,36,34,158561,75040,233601,401.4748,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_005/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_006,low,treatment,low_treatment_20260530_091120_006,completed,20260530_095213,2026-05-30T10:01:58+0200,5,15,16,32,45,47,205729,107903,313632,584.4609,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_006/metadata.json,0,1,1,1,,,
low_treatment_20260530_091120_007,low,treatment,low_treatment_20260530_091120_007,completed,20260530_100201,2026-05-30T10:07:32+0200,3,9,8,16,27,25,116225,60005,176230,330.9942,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_007/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_008,low,treatment,low_treatment_20260530_091120_008,completed,20260530_100735,2026-05-30T10:15:52+0200,5,14,9,18,45,32,172826,95754,268580,496.8446,Candidate A,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_008/metadata.json,2,1,0,0,,,
low_treatment_20260530_091120_009,low,treatment,low_treatment_20260530_091120_009,completed,20260530_101555,2026-05-30T10:20:53+0200,3,9,6,12,27,21,106504,55854,162358,297.9126,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_009/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_010,low,treatment,low_treatment_20260530_091120_010,completed,20260530_102057,2026-05-30T10:29:18+0200,5,15,8,16,45,31,172399,94763,267162,501.1215,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_010/metadata.json,0,2,1,0,,,
low_treatment_20260530_091120_011,low,treatment,low_treatment_20260530_091120_011,completed,20260530_102921,2026-05-30T10:38:16+0200,5,15,13,26,45,41,191493,100577,292070,535.3241,,max_round_no_majority,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_011/metadata.json,0,1,1,1,,,
low_treatment_20260530_091120_012,low,treatment,low_treatment_20260530_091120_012,completed,20260530_103820,2026-05-30T10:46:24+0200,5,14,7,14,45,28,167021,90895,257916,484.1547,Candidate A,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_012/metadata.json,2,1,0,0,,,
low_treatment_20260530_091120_013,low,treatment,low_treatment_20260530_091120_013,completed,20260530_104627,2026-05-30T10:52:02+0200,3,9,7,14,27,23,113213,61525,174738,334.9211,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_013/metadata.json,0,0,3,0,,,
low_treatment_20260530_091120_014,low,treatment,low_treatment_20260530_091120_014,completed,20260530_105205,2026-05-30T10:57:01+0200,3,9,4,8,27,17,98822,55579,154401,295.4309,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260530_091120_014/metadata.json,0,0,3,0,,,
