run_id,task_file,label_version,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,team_process_score,team_process_communication,team_process_coordination,team_process_cooperation,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
low_treatment_20260711_111242_001,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_001,completed,20260711_111246,2026-07-11T11:24:13+0200,5,15,14,28,45,43,268562,153277,421839,,687.5506,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.508333,0.291667,0.733333,0.5,01_data/raw/simulations/low/low_treatment_20260711_111242_001/metadata.json,2,1,0,0
low_treatment_20260711_111242_002,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_002,completed,20260711_112416,2026-07-11T11:35:06+0200,5,15,12,24,44,39,238704,147510,386214,,650.3053,Candidate A,max_round_majority_vote,Candidate A,1,,,,,,,,0.456746,0.208333,0.733333,0.428571,01_data/raw/simulations/low/low_treatment_20260711_111242_002/metadata.json,2,1,0,0
low_treatment_20260711_111242_003,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_003,completed,20260711_113509,2026-07-11T11:46:25+0200,5,15,10,20,45,35,233688,149566,383254,,675.783,Candidate B,max_round_majority_vote,Candidate A,0,,,,,,,,0.464683,0.208333,0.4,0.785714,01_data/raw/simulations/low/low_treatment_20260711_111242_003/metadata.json,1,2,0,0
low_treatment_20260711_111242_004,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_004,completed,20260711_114628,2026-07-11T11:58:38+0200,5,15,10,20,43,35,238889,159643,398532,,729.4191,Candidate A,consensus,Candidate A,1,,,,,,,,0.412302,0.208333,0.6,0.428571,01_data/raw/simulations/low/low_treatment_20260711_111242_004/metadata.json,3,0,0,0
low_treatment_20260711_111242_005,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_005,completed,20260711_115841,2026-07-11T12:03:38+0200,2,6,5,10,17,16,96876,65364,162240,,297.6568,Candidate B,consensus,Candidate A,0,,,,,,,,0.502778,0.041667,0.666667,0.8,01_data/raw/simulations/low/low_treatment_20260711_111242_005/metadata.json,0,3,0,0
low_treatment_20260711_111242_006,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_006,completed,20260711_120341,2026-07-11T12:08:11+0200,2,6,6,12,18,18,99916,58660,158576,,270.0726,Candidate B,consensus,Candidate A,0,,,,,,,,0.422222,0.0,0.666667,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_006/metadata.json,0,3,0,0
low_treatment_20260711_111242_007,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_007,completed,20260711_120815,2026-07-11T12:12:55+0200,2,6,5,10,16,16,96211,62421,158632,,280.3593,Candidate A,consensus,Candidate A,1,,,,,,,,0.425,0.208333,0.666667,0.4,01_data/raw/simulations/low/low_treatment_20260711_111242_007/metadata.json,3,0,0,0
low_treatment_20260711_111242_008,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_008,completed,20260711_121258,2026-07-11T12:17:31+0200,2,6,5,10,18,16,94143,61549,155692,,272.2045,Candidate A,consensus,Candidate A,1,,,,,,,,0.491667,0.208333,0.666667,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_008/metadata.json,3,0,0,0
low_treatment_20260711_111242_009,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_009,completed,20260711_121734,2026-07-11T12:21:59+0200,2,6,4,8,18,14,88028,59758,147786,,265.7145,Candidate B,consensus,Candidate A,0,,,,,,,,0.436111,0.208333,0.5,0.6,01_data/raw/simulations/low/low_treatment_20260711_111242_009/metadata.json,0,3,0,0
low_treatment_20260711_111242_010,hidden_profile_task_rotation.json,rotated_ac,low,treatment,low_treatment_010,completed,20260711_122203,2026-07-11T12:34:27+0200,5,15,12,24,43,39,260734,165031,425765,,744.7895,Candidate B,max_round_majority_vote,Candidate A,0,,,,,,,,0.39246,0.291667,0.6,0.285714,01_data/raw/simulations/low/low_treatment_20260711_111242_010/metadata.json,0,2,1,0
